Title,Genre,Director,Year,Runtime (Minutes),Revenue (Millions)
Lowriders,Drama,Ricardo de Montreuil,2016,99,4.21
Lucky Number Slevin,Crime;Drama;Mystery,Paul McGuigan,2006,110,22.49
Lucy,Action;Sci-Fi;Thriller,Luc Besson,2014,89,126.55
Ma vie de Courgette,Animation;Comedy;Drama,Claude Barras,2016,66,0.29
Mad Max: Fury Road,Action;Adventure;Sci-Fi,George Miller,2015,120,153.63
Magic Mike,Comedy;Drama,Steven Soderbergh,2012,110,113.71
Maleficent,Action;Adventure;Family,Robert Stromberg,2014,97,241.41
Mama,Horror;Thriller,Andrés Muschietti,2013,100,71.59
Mamma Mia!,Comedy;Family;Musical,Phyllida Lloyd,2008,108,143.7
Man of Steel,Action;Adventure;Fantasy,Zack Snyder,2013,143,291.02
Man on a Ledge,Action;Crime;Thriller,Asger Leth,2012,102,18.6
Manchester by the Sea,Drama,Kenneth Lonergan,2016,137,47.7
Marie Antoinette,Biography;Drama;History,Sofia Coppola,2006,123,15.96
Masterminds,Action;Comedy;Crime,Jared Hess,2016,95,17.36
Max,Adventure;Family,Boaz Yakin,2015,111,42.65
Max Steel,Action;Adventure;Family,Stewart Hendler,2016,92,3.77
Maze Runner: The Scorch Trials,Action;Sci-Fi;Thriller,Wes Ball,2015,131,81.69
Me and Earl and the Dying Girl,Comedy;Drama,Alfonso Gomez-Rejon,2015,105,6.74
Me Before You,Drama;Romance,Thea Sharrock,2016,106,56.23
Mechanic: Resurrection,Action;Adventure;Crime,Dennis Gansel,2016,98,21.2
Megamind,Animation;Action;Comedy,Tom McGrath,2010,95,148.34
Melancholia,Drama,Lars von Trier,2011,135,3.03
Men in Black 3,Action;Adventure;Comedy,Barry Sonnenfeld,2012,106,179.02
Midnight in Paris,Comedy;Fantasy;Romance,Woody Allen,2011,94,56.82
Midnight Special,Drama;Mystery;Sci-Fi,Jeff Nichols,2016,112,3.71
Mike and Dave Need Wedding Dates,Adventure;Comedy;Romance,Jake Szymanski,2016,98,46.01
Minions,Animation;Action;Adventure,Kyle Balda,2015,91,336.03
Miracles from Heaven,Biography;Drama;Family,Patricia Riggen,2016,109,61.69
Miss Peregrine's Home for Peculiar Children,Adventure;Drama;Family,Tim Burton,2016,127,87.24
Miss Sloane,Drama;Thriller,John Madden,2016,132,3.44
Mission: Impossible - Ghost Protocol,Action;Adventure;Thriller,Brad Bird,2011,132,209.36
Mission: Impossible - Rogue Nation,Action;Adventure;Thriller,Christopher McQuarrie,2015,131,195
Mission: Impossible III,Action;Adventure;Thriller,J.J. Abrams,2006,126,133.38
Moana,Animation;Adventure;Comedy,Ron Clements,2016,107,248.75
Mommy,Drama,Xavier Dolan,2014,139,3.49
Money Monster,Crime;Drama;Thriller,Jodie Foster,2016,98,41.01
Moneyball,Biography;Drama;Sport,Bennett Miller,2011,133,75.61
Monster Trucks,Action;Adventure;Comedy,Chris Wedge,2016,104,33.04
Monsters University,Animation;Adventure;Comedy,Dan Scanlon,2013,104,268.49
Moon,Drama;Mystery;Sci-Fi,Duncan Jones,2009,97,5.01
Moonlight,Drama,Barry Jenkins,2016,111,27.85
Moonrise Kingdom,Adventure;Comedy;Drama,Wes Anderson,2012,94,45.51
Morgan,Horror;Sci-Fi;Thriller,Luke Scott,2016,92,3.91
Mother's Day,Comedy;Drama,Garry Marshall,2016,118,32.46
Movie 43,Comedy;Romance,Elizabeth Banks,2013,94,8.83
Mr. Brooks,Crime;Drama;Thriller,Bruce A. Evans,2007,120,28.48
Mr. Church,Comedy;Drama,Bruce Beresford,2016,104,0.69
Mr. Right,Action;Comedy;Romance,Paco Cabezas,2015,95,0.03
My Big Fat Greek Wedding 2,Comedy;Family;Romance,Kirk Jones,2016,94,59.57
Need for Speed,Action;Crime;Drama,Scott Waugh,2014,132,43.57
Neighbors,Comedy,Nicholas Stoller,2014,97,150.06
Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller,2016,92,55.29
Nerve,Adventure;Crime;Mystery,Henry Joost,2016,96,38.56
Never Back Down,Action;Drama;Sport,Jeff Wadlow,2008,110,24.85
Night at the Museum: Secret of the Tomb,Adventure;Comedy;Family,Shawn Levy,2014,98,113.73
Nightcrawler,Crime;Drama;Thriller,Dan Gilroy,2014,118,32.28
Nine Lives,Comedy;Family;Fantasy,Barry Sonnenfeld,2016,87,19.64
No Country for Old Men,Crime;Drama;Thriller,Ethan Coen,2007,122,74.27
No Escape,Action;Thriller,John Erick Dowdle,2015,103,27.29
No Strings Attached,Comedy;Romance,Ivan Reitman,2011,108,70.63
Noah,Action;Adventure;Drama,Darren Aronofsky,2014,138,101.16
Nocturnal Animals,Drama;Thriller,Tom Ford,2016,116,10.64
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama;Thriller,Joseph Cedar,2016,118,2.27
Notorious,Biography;Crime;Drama,George Tillman Jr.,2009,122,36.84
Now You See Me,Crime;Mystery;Thriller,Louis Leterrier,2013,115,117.7
Now You See Me 2,Action;Adventure;Comedy,Jon M. Chu,2016,129,65.03
Nymphomaniac: Vol. I,Drama,Lars von Trier,2013,117,0.79
Nymphomaniac: Vol. II,Drama,Lars von Trier,2013,123,0.33
Oblivion,Action;Adventure;Mystery,Joseph Kosinski,2013,124,89.02
Ocean's Thirteen,Crime;Thriller,Steven Soderbergh,2007,122,117.14
Oculus,Horror;Mystery,Mike Flanagan,2013,104,27.69
Office Christmas Party,Comedy,Josh Gordon,2016,105,54.73
Olympus Has Fallen,Action;Thriller,Antoine Fuqua,2013,119,98.9
One Day,Drama;Romance,Lone Scherfig,2011,107,13.77
Orphan,Horror;Mystery;Thriller,Jaume Collet-Serra,2009,123,41.57
Ouija: Origin of Evil,Horror;Thriller,Mike Flanagan,2016,99,34.9
Out of the Furnace,Crime;Drama;Thriller,Scott Cooper,2013,116,11.33
Oz the Great and Powerful,Adventure;Family;Fantasy,Sam Raimi,2013,130,234.9
P.S. I Love You,Drama;Romance,Richard LaGravenese,2007,126,53.68
Pacific Rim,Action;Adventure;Sci-Fi,Guillermo del Toro,2013,131,101.79
Pain & Gain,Comedy;Crime;Drama,Michael Bay,2013,129,49.87
Pan,Adventure;Family;Fantasy,Joe Wright,2015,111,34.96
Pan's Labyrinth,Drama;Fantasy;War,Guillermo del Toro,2006,118,37.62
Pandorum,Action;Horror;Mystery,Christian Alvart,2009,108,10.33
Paper Towns,Drama;Mystery;Romance,Jake Schreier,2015,109,31.99
Passengers,Adventure;Drama;Romance,Morten Tyldum,2016,116,100.01
Paterson,Comedy;Drama;Romance,Jim Jarmusch,2016,118,2.14
Patriots Day,Drama;History;Thriller,Peter Berg,2016,133,31.86
Paul,Adventure;Comedy;Sci-Fi,Greg Mottola,2011,104,37.37
Percy Jackson & the Olympians: The Lightning Thief,Adventure;Family;Fantasy,Chris Columbus,2010,118,88.76
Percy Jackson: Sea of Monsters,Adventure;Family;Fantasy,Thor Freudenthal,2013,106,68.56
Perfume: The Story of a Murderer,Crime;Drama;Fantasy,Tom Tykwer,2006,147,2.21
Personal Shopper,Drama;Mystery;Thriller,Olivier Assayas,2016,105,1.29
Pete's Dragon,Adventure;Family;Fantasy,David Lowery,2016,102,76.2
Pineapple Express,Action;Comedy;Crime,David Gordon Green,2008,111,87.34
Piranha 3D,Comedy;Horror;Thriller,Alexandre Aja,2010,88,25
Pirates of the Caribbean: At World's End,Action;Adventure;Fantasy,Gore Verbinski,2007,169,309.4
Pirates of the Caribbean: Dead Man's Chest,Action;Adventure;Fantasy,Gore Verbinski,2006,151,423.03
Pirates of the Caribbean: On Stranger Tides,Action;Adventure;Fantasy,Rob Marshall,2011,136,241.06
Pitch Perfect,Comedy;Music;Romance,Jason Moore,2012,112,65
Pitch Perfect 2,Comedy;Music,Elizabeth Banks,2015,115,183.44
Pixels,Action;Comedy;Family,Chris Columbus,2015,105,78.75
PK,Comedy;Drama;Romance,Rajkumar Hirani,2014,153,10.57
Point Break,Action;Crime;Sport,Ericson Core,2015,114,28.77
Pompeii,Action;Adventure;Drama,Paul W.S. Anderson,2014,105,23.22
Popstar: Never Stop Never Stopping,Comedy;Music,Akiva Schaffer,2016,87,9.39
Precious,Drama,Lee Daniels,2009,110,47.54
Predators,Action;Adventure;Sci-Fi,Nimrod Antal,2010,107,52
Pride and Prejudice and Zombies,Action;Horror;Romance,Burr Steers,2016,108,10.91
Prince of Persia: The Sands of Time,Action;Adventure;Fantasy,Mike Newell,2010,116,90.76
Prisoners,Crime;Drama;Mystery,Denis Villeneuve,2013,153,60.96
Project X,Comedy,Nima Nourizadeh,2012,88,54.72
Prometheus,Adventure;Mystery;Sci-Fi,Ridley Scott,2012,124,126.46
Public Enemies,Biography;Crime;Drama,Michael Mann,2009,140,97.03
Quantum of Solace,Action;Adventure;Thriller,Marc Forster,2008,106,168.37
Queen of Katwe,Biography;Drama;Sport,Mira Nair,2016,124,8.81
Rambo,Action;Thriller;War,Sylvester Stallone,2008,92,42.72
Ratatouille,Animation;Comedy;Family,Brad Bird,2007,111,206.44
Raw (II),Drama;Horror,Julia Ducournau,2016,99,0.51
Real Steel,Action;Drama;Family,Shawn Levy,2011,127,85.46
RED,Action;Comedy;Crime,Robert Schwentke,2010,111,90.36
Red Dawn,Action;Thriller,Dan Bradley,2012,93,44.8
Regression,Crime;Drama;Mystery,Alejandro Amenabar,2015,106,0.05
Remember Me,Drama;Romance,Allen Coulter,2010,113,19.06
Rescue Dawn,Adventure;Biography;Drama,Werner Herzog,2006,120,5.48
Resident Evil: Afterlife,Action;Adventure;Horror,Paul W.S. Anderson,2010,97,60.13
Resident Evil: Retribution,Action;Horror;Sci-Fi,Paul W.S. Anderson,2012,96,42.35
Resident Evil: The Final Chapter,Action;Horror;Sci-Fi,Paul W.S. Anderson,2016,107,26.84
Revolutionary Road,Drama;Romance,Sam Mendes,2008,119,22.88
Riddick,Action;Sci-Fi;Thriller,David Twohy,2013,119,42
Rio,Animation;Adventure;Comedy,Carlos Saldanha,2011,96,143.62
Rise of the Planet of the Apes,Action;Drama;Sci-Fi,Rupert Wyatt,2011,105,176.74
Robin Hood,Action;Adventure;Drama,Ridley Scott,2010,140,105.22
RoboCop,Action;Crime;Sci-Fi,José Padilha,2014,117,58.61
Rock Dog,Animation;Adventure;Comedy,Ash Brannon,2016,90,9.4
Rock of Ages,Comedy;Drama;Musical,Adam Shankman,2012,123,38.51
RocknRolla,Action;Crime;Thriller,Guy Ritchie,2008,114,5.69
Rocky Balboa,Drama;Sport,Sylvester Stallone,2006,102,70.27
Rogue One,Action;Adventure;Sci-Fi,Gareth Edwards,2016,133,532.17
Room,Drama,Lenny Abrahamson,2015,118,14.68
Rules Don't Apply,Comedy;Drama;Romance,Warren Beatty,2016,127,3.65
Rush,Action;Biography;Drama,Ron Howard,2013,123,26.9
Safe Haven,Drama;Romance;Thriller,Lasse Hallström,2013,115,71.35
Salt,Action;Crime;Mystery,Phillip Noyce,2010,100,118.31
San Andreas,Action;Adventure;Drama,Brad Peyton,2015,114,155.18
Sausage Party,Animation;Adventure;Comedy,Greg Tiernan,2016,89,97.66
Savages,Crime;Drama;Thriller,Oliver Stone,2012,131,47.31
Saving Mr. Banks,Biography;Comedy;Drama,John Lee Hancock,2013,125,83.3
Scott Pilgrim vs. the World,Action;Comedy;Fantasy,Edgar Wright,2010,112,31.49
Scouts Guide to the Zombie Apocalypse,Action;Comedy;Horror,Christopher Landon,2015,93,3.64
Scream 4,Horror;Mystery,Wes Craven,2011,111,38.18
Self/less,Action;Mystery;Sci-Fi,Tarsem Singh,2015,117,12.28
Selma,Biography;Drama;History,Ava DuVernay,2014,128,52.07
Seven Pounds,Drama;Romance,Gabriele Muccino,2008,123,69.95
Seven Psychopaths,Comedy;Crime,Martin McDonagh,2012,110,14.99
Seventh Son,Action;Adventure;Fantasy,Sergei Bodrov,2014,102,17.18
Sex and the City,Comedy;Drama;Romance,Michael Patrick King,2008,145,152.64
Sex and the City 2,Comedy;Drama;Romance,Michael Patrick King,2010,146,95.33
Sex Tape,Comedy;Romance,Jake Kasdan,2014,94,38.54
Shame,Drama,Steve McQueen,2011,101,4
She's Out of My League,Comedy;Romance,Jim Field Smith,2010,104,31.58
She's the Man,Comedy;Romance;Sport,Andy Fickman,2006,105,2.34
Sherlock Holmes,Action;Adventure;Crime,Guy Ritchie,2009,128,209.02
Sherlock Holmes: A Game of Shadows,Action;Adventure;Crime,Guy Ritchie,2011,129,186.83
Shin Gojira,Action;Adventure;Drama,Hideaki Anno,2016,120,1.91
Shooter,Action;Crime;Drama,Antoine Fuqua,2007,124,46.98
Shut In,Drama;Horror;Thriller,Farren Blackburn,2016,91,6.88
Shutter Island,Mystery;Thriller,Martin Scorsese,2010,138,127.97
Sicario,Action;Crime;Drama,Denis Villeneuve,2015,121,46.88
Silence,Adventure;Drama;History,Martin Scorsese,2016,161,7.08
Silent Hill,Adventure;Horror;Mystery,Christophe Gans,2006,125,46.98
Silver Linings Playbook,Comedy;Drama;Romance,David O. Russell,2012,122,132.09
Sin City: A Dame to Kill For,Action;Crime;Thriller,Frank Miller,2014,102,13.75
Sing,Animation;Comedy;Family,Christophe Lourdelet,2016,108,270.32
Sing Street,Comedy;Drama;Music,John Carney,2016,106,3.23
Sinister,Horror;Mystery,Scott Derrickson,2012,110,48.06
Sisters,Comedy,Jason Moore,2015,118,87.03
Skyfall,Action;Adventure;Thriller,Sam Mendes,2012,143,304.36
Sleeping Beauty,Drama;Romance,Julia Leigh,2011,101,0.03
Sleeping with Other People,Comedy;Drama;Romance,Leslye Headland,2015,101,0.81
Sleight,Action;Drama;Sci-Fi,J.D. Dillard,2016,89,3.85
Slither,Comedy;Horror;Sci-Fi,James Gunn,2006,95,7.77
Slumdog Millionaire,Drama,Danny Boyle,2008,120,141.32
Snakes on a Plane,Action;Adventure;Crime,David R. Ellis,2006,105,34.01
Snow White and the Huntsman,Action;Adventure;Drama,Rupert Sanders,2012,127,155.11
Snowden,Biography;Drama;Thriller,Oliver Stone,2016,134,21.48
Snowpiercer,Action;Drama;Sci-Fi,Bong Joon Ho,2013,126,4.56
Source Code,Mystery;Romance;Sci-Fi,Duncan Jones,2011,93,54.7
Southpaw,Drama;Sport,Antoine Fuqua,2015,124,52.42
Spectre,Action;Adventure;Thriller,Sam Mendes,2015,148,200.07
Spider-Man 3,Action;Adventure,Sam Raimi,2007,139,336.53
Split,Horror;Thriller,M. Night Shyamalan,2016,117,138.12
Spotlight,Crime;Drama;History,Tom McCarthy,2015,128,44.99
Spring Breakers,Drama,Harmony Korine,2012,94,14.12
Spy,Action;Comedy;Crime,Paul Feig,2015,119,110.82
Stake Land,Drama;Horror;Sci-Fi,Jim Mickle,2010,98,0.02
Star Trek,Action;Adventure;Sci-Fi,J.J. Abrams,2009,127,257.7
Star Trek Beyond,Action;Adventure;Sci-Fi,Justin Lin,2016,122,158.8
Star Trek Into Darkness,Action;Adventure;Sci-Fi,J.J. Abrams,2013,132,228.76
Star Wars: Episode VII - The Force Awakens,Action;Adventure;Fantasy,J.J. Abrams,2015,136,936.63
Stardust,Adventure;Family;Fantasy,Matthew Vaughn,2007,127,38.35
Step Brothers,Comedy,Adam McKay,2008,98,100.47
Step Up,Crime;Drama;Music,Anne Fletcher,2006,104,65.27
Step Up 2: The Streets,Drama;Music;Romance,Jon M. Chu,2008,98,58.01
Steve Jobs,Biography;Drama,Danny Boyle,2015,122,17.75
Storks,Animation;Adventure;Comedy,Nicholas Stoller,2016,87,72.66
Straight Outta Compton,Biography;Drama;History,F. Gary Gray,2015,147,161.03
Sucker Punch,Action;Fantasy,Zack Snyder,2011,110,36.38
Suicide Squad,Action;Adventure;Fantasy,David Ayer,2016,123,325.02
Sully,Biography;Drama,Clint Eastwood,2016,96,125.07
Sunshine,Adventure;Sci-Fi;Thriller,Danny Boyle,2007,107,3.68
Super,Comedy;Drama,James Gunn,2010,96,0.32
Super 8,Mystery;Sci-Fi;Thriller,J.J. Abrams,2011,112,126.98
Superbad,Comedy,Greg Mottola,2007,113,121.46
Superman Returns,Action;Adventure;Sci-Fi,Bryan Singer,2006,154,200.07
Sweeney Todd: The Demon Barber of Fleet Street,Drama;Horror;Musical,Tim Burton,2007,116,52.88
Swiss Army Man,Adventure;Comedy;Drama,Dan Kwan,2016,97,4.21
Taare Zameen Par,Drama;Family;Music,Aamir Khan,2007,165,1.2
Take Me Home Tonight,Comedy;Drama;Romance,Michael Dowse,2011,97,6.92
Taken,Action;Thriller,Pierre Morel,2008,93,145
Taken 3,Action;Thriller,Olivier Megaton,2014,109,89.25
Talladega Nights: The Ballad of Ricky Bobby,Action;Comedy;Sport,Adam McKay,2006,108,148.21
Tangled,Animation;Adventure;Comedy,Nathan Greno,2010,100,200.81
Ted,Comedy;Fantasy,Seth MacFarlane,2012,106,218.63
Ted 2,Adventure;Comedy;Romance,Seth MacFarlane,2015,115,81.26
Teenage Mutant Ninja Turtles,Action;Adventure;Comedy,Jonathan Liebesman,2014,101,190.87
Teenage Mutant Ninja Turtles: Out of the Shadows,Action;Adventure;Comedy,Dave Green,2016,112,0.54
Terminator Genisys,Action;Adventure;Sci-Fi,Alan Taylor,2015,126,89.73
Terminator Salvation,Action;Adventure;Drama,McG,2009,115,125.32
Texas Chainsaw 3D,Horror;Thriller,John Luessenhop,2013,92,34.33
That Awkward Moment,Comedy;Romance,Tom Gormican,2014,94,26.05
The 5th Wave,Action;Adventure;Sci-Fi,J Blakeson,2016,112,34.91
The A-Team,Action;Adventure;Comedy,Joe Carnahan,2010,117,77.21
The Accountant,Action;Crime;Drama,Gavin O'Connor,2016,128,86.2
The Adjustment Bureau,Romance;Sci-Fi;Thriller,George Nolfi,2011,106,62.45
The Age of Adaline,Drama;Fantasy;Romance,Lee Toland Krieger,2015,112,42.48
The Age of Shadows,Action;Drama;Thriller,Jee-woon Kim,2016,140,0.54
The Amazing Spider-Man,Action;Adventure,Marc Webb,2012,136,262.03
The Amazing Spider-Man 2,Action;Adventure;Sci-Fi,Marc Webb,2014,142,202.85
The Assassination of Jesse James by the Coward Robert Ford,Biography;Crime;Drama,Andrew Dominik,2007,160,3.9
The Avengers,Action;Sci-Fi,Joss Whedon,2012,143,623.28
The Babadook,Drama;Horror,Jennifer Kent,2014,93,0.92
The Babysitters,Drama,David Ross,2007,88,0.04
The Belko Experiment,Action;Horror;Thriller,Greg McLean,2016,89,10.16
The Best of Me,Drama;Romance,Michael Hoffman,2014,118,26.76
The BFG,Adventure;Family;Fantasy,Steven Spielberg,2016,117,55.47
The Big Short,Biography;Comedy;Drama,Adam McKay,2015,130,70.24
The Blackcoat's Daughter,Horror;Thriller,Oz Perkins,2015,93,0.02
The Blind Side,Biography;Drama;Sport,John Lee Hancock,2009,129,255.95
The Book of Eli,Action;Adventure;Drama,Albert Hughes,2010,118,94.82
The Book of Life,Animation;Adventure;Comedy,Jorge R. Gutiérrez,2014,95,50.15
The Boss,Comedy,Ben Falcone,2016,99,63.03
The Bourne Legacy,Action;Adventure;Mystery,Tony Gilroy,2012,135,113.17
The Bourne Ultimatum,Action;Mystery;Thriller,Paul Greengrass,2007,115,227.14
The Boy,Horror;Mystery;Thriller,William Brent Bell,2016,97,35.79
The Boy in the Striped Pyjamas,Drama;War,Mark Herman,2008,94,9.03
The Boy Next Door,Mystery;Thriller,Rob Cohen,2015,91,35.39
The Break-Up,Comedy;Drama;Romance,Peyton Reed,2006,106,118.68
The Butler,Biography;Drama,Lee Daniels,2013,132,116.63
The Cabin in the Woods,Horror,Drew Goddard,2012,95,42.04
The Choice,Drama;Romance,Ross Katz,2016,111,18.71
The Comedian,Comedy,Taylor Hackford,2016,120,1.66
The Conjuring,Horror;Mystery;Thriller,James Wan,2013,112,137.39
The Conjuring 2,Horror;Mystery;Thriller,James Wan,2016,134,102.46
The Counselor,Crime;Drama;Thriller,Ridley Scott,2013,117,16.97
The Curious Case of Benjamin Button,Drama;Fantasy;Romance,David Fincher,2008,166,127.49
The Da Vinci Code,Mystery;Thriller,Ron Howard,2006,149,217.54
The Danish Girl,Biography;Drama;Romance,Tom Hooper,2015,119,12.71
The Dark Knight,Action;Crime;Drama,Christopher Nolan,2008,152,533.32
The Dark Knight Rises,Action;Thriller,Christopher Nolan,2012,164,448.13
The Daughter,Drama,Simon Stone,2015,96,0.03
The Departed,Crime;Drama;Thriller,Martin Scorsese,2006,151,132.37
The Descendants,Comedy;Drama,Alexander Payne,2011,115,82.62
The Devil Wears Prada,Comedy;Drama,David Frankel,2006,109,124.73
The Dictator,Comedy,Larry Charles,2012,83,59.62
The Disappointments Room,Drama;Horror;Thriller,D.J. Caruso,2016,85,2.41
The Do-Over,Action;Adventure;Comedy,Steven Brill,2016,108,0.54
The Dressmaker,Comedy;Drama,Jocelyn Moorhouse,2015,119,2.02
The Drop,Crime;Drama;Mystery,Michael Roskam,2014,106,10.72
The DUFF,Comedy,Ari Sandel,2015,101,34.02
The Edge of Seventeen,Comedy;Drama,Kelly Fremon Craig,2016,104,14.26
The Equalizer,Action;Crime;Thriller,Antoine Fuqua,2014,132,101.53
The Expendables,Action;Adventure;Thriller,Sylvester Stallone,2010,103,102.98
The Expendables 2,Action;Adventure;Thriller,Simon West,2012,103,85.02
The Expendables 3,Action;Adventure;Thriller,Patrick Hughes,2014,126,39.29
The Fall,Adventure;Comedy;Drama,Tarsem Singh,2006,117,2.28
The Family,Comedy;Crime;Thriller,Luc Besson,2013,111,36.92
The Fast and the Furious: Tokyo Drift,Action;Crime;Thriller,Justin Lin,2006,104,62.49
The Fault in Our Stars,Drama;Romance,Josh Boone,2014,126,124.87
The Fighter,Action;Biography;Drama,David O. Russell,2010,116,93.57
The Finest Hours,Action;Drama;History,Craig Gillespie,2016,117,27.55
The First Time,Comedy;Drama;Romance,Jon Kasdan,2012,95,0.02
The Founder,Biography;Drama;History,John Lee Hancock,2016,115,12.79
The Fountain,Drama;Sci-Fi,Darren Aronofsky,2006,96,10.14
The Gambler,Crime;Drama;Thriller,Rupert Wyatt,2014,111,33.63
The Ghost Writer,Mystery;Thriller,Roman Polanski,2010,128,15.52
The Gift,Mystery;Thriller,Joel Edgerton,2015,108,43.77
The Girl on the Train,Crime;Drama;Mystery,Tate Taylor,2016,112,75.31
The Girl with the Dragon Tattoo,Crime;Drama;Mystery,David Fincher,2011,158,102.52
The Giver,Drama;Romance;Sci-Fi,Phillip Noyce,2014,97,45.09
The Golden Compass,Adventure;Family;Fantasy,Chris Weitz,2007,113,70.08
The Grand Budapest Hotel,Adventure;Comedy;Drama,Wes Anderson,2014,99,59.07
The Great Gatsby,Drama;Romance,Baz Luhrmann,2013,143,144.81
The Great Wall,Action;Adventure;Fantasy,Yimou Zhang,2016,103,45.13
The Green Inferno,Adventure;Horror,Eli Roth,2013,100,7.19
The Guest,Thriller,Adam Wingard,2014,100,0.32
The Gunman,Action;Crime;Drama,Pierre Morel,2015,115,10.64
The Hangover,Comedy,Todd Phillips,2009,100,277.31
The Happening,Sci-Fi;Thriller,M. Night Shyamalan,2008,91,64.51
The Hateful Eight,Crime;Drama;Mystery,Quentin Tarantino,2015,187,54.12
The Heartbreak Kid,Comedy;Romance,Bobby Farrelly,2007,116,36.77
The Heat,Action;Comedy;Crime,Paul Feig,2013,117,159.58
The Help,Drama,Tate Taylor,2011,146,169.71
The Hills Have Eyes,Horror,Alexandre Aja,2006,107,41.78
The Hobbit: An Unexpected Journey,Adventure;Fantasy,Peter Jackson,2012,169,303
The Hobbit: The Battle of the Five Armies,Adventure;Fantasy,Peter Jackson,2014,144,255.11
The Hobbit: The Desolation of Smaug,Adventure;Fantasy,Peter Jackson,2013,161,258.36
The Hollars,Comedy;Drama;Romance,John Krasinski,2016,88,1.02
The Host,Action;Adventure;Romance,Andrew Niccol,2013,125,26.62
The Host,Comedy;Drama;Horror,Bong Joon Ho,2006,120,2.2
The House Bunny,Comedy;Romance,Fred Wolf,2008,97,48.24
The Human Centipede (First Sequence),Horror,Tom Six,2009,92,0.18
The Hunger Games,Adventure;Sci-Fi;Thriller,Gary Ross,2012,142,408
The Hunger Games: Catching Fire,Action;Adventure;Mystery,Francis Lawrence,2013,146,424.65
The Hunger Games: Mockingjay - Part 1,Action;Adventure;Sci-Fi,Francis Lawrence,2014,123,337.1
The Hunger Games: Mockingjay - Part 2,Action;Adventure;Sci-Fi,Francis Lawrence,2015,137,281.67
The Huntsman: Winter's War,Action;Adventure;Drama,Cedric Nicolas-Troyan,2016,114,47.95
The Hurt Locker,Drama;History;Thriller,Kathryn Bigelow,2008,131,15.7
The Illusionist,Drama;Mystery;Romance,Neil Burger,2006,110,39.83
The Imaginarium of Doctor Parnassus,Adventure;Fantasy;Mystery,Terry Gilliam,2009,123,7.69
The Imitation Game,Biography;Drama;Thriller,Morten Tyldum,2014,114,91.12
The imposible,Drama;Thriller,J.A. Bayona,2012,114,19
The Incredible Hulk,Action;Adventure;Sci-Fi,Louis Leterrier,2008,112,134.52
The Infiltrator,Biography;Crime;Drama,Brad Furman,2016,127,15.43
The Intern,Comedy;Drama,Nancy Meyers,2015,121,75.27
The Internship,Comedy,Shawn Levy,2013,119,44.67
The Interview,Comedy,Evan Goldberg,2014,112,6.11
The Intouchables,Biography;Comedy;Drama,Olivier Nakache,2011,112,13.18
The Invitation,Drama;Mystery;Thriller,Karyn Kusama,2015,100,0.23
The Judge,Crime;Drama,David Dobkin,2014,141,47.11
The Jungle Book,Adventure;Drama;Family,Jon Favreau,2016,106,364
The Karate Kid,Action;Drama;Family,Harald Zwart,2010,140,176.59
The King's Speech,Biography;Drama,Tom Hooper,2010,118,138.8
The Kings of Summer,Adventure;Comedy;Drama,Jordan Vogt-Roberts,2013,95,1.29
The Last Witch Hunter,Action;Adventure;Fantasy,Breck Eisner,2015,106,27.36
The Legend of Tarzan,Action;Adventure;Drama,David Yates,2016,110,126.59
The Lego Movie,Animation;Action;Adventure,Phil Lord,2014,100,257.76
The Light Between Oceans,Drama;Romance,Derek Cianfrance,2016,133,12.53
The Lives of Others,Drama;Thriller,Florian Henckel von Donnersmarck,2006,137,11.28
The Lobster,Comedy;Drama;Romance,Yorgos Lanthimos,2015,119,8.7
The Loft,Mystery;Romance;Thriller,Erik Van Looy,2014,108,5.98
The Lone Ranger,Action;Adventure;Western,Gore Verbinski,2013,150,89.29
The Longest Ride,Drama;Romance,George Tillman Jr.,2015,123,37.43
The Lost City of Z,Action;Adventure;Biography,James Gray,2016,141,8.01
The Love Witch,Comedy;Horror,Anna Biller,2016,120,0.22
The Lovely Bones,Drama;Fantasy;Thriller,Peter Jackson,2009,135,43.98
The Lucky One,Drama;Romance,Scott Hicks,2012,101,60.44
The Magnificent Seven,Action;Adventure;Western,Antoine Fuqua,2016,132,93.38
The Man from U.N.C.L.E.,Action;Adventure;Comedy,Guy Ritchie,2015,116,45.43
The Man Who Knew Infinity,Biography;Drama,Matt Brown,2015,108,3.86
The Martian,Adventure;Drama;Sci-Fi,Ridley Scott,2015,144,228.43
The Master,Drama,Paul Thomas Anderson,2012,144,16.38
The Maze Runner,Action;Mystery;Sci-Fi,Wes Ball,2014,113,102.41
The Midnight Meat Train,Horror;Mystery,Ryûhei Kitamura,2008,98,0.07
The Mist,Horror,Frank Darabont,2007,126,25.59
The Mortal Instruments: City of Bones,Action;Fantasy;Horror,Harald Zwart,2013,130,31.17
The Mummy: Tomb of the Dragon Emperor,Action;Adventure;Fantasy,Rob Cohen,2008,112,102.18
The Neon Demon,Horror;Thriller,Nicolas Winding Refn,2016,118,1.33
The Nice Guys,Action;Comedy;Crime,Shane Black,2016,116,36.25
The Other Boleyn Girl,Biography;Drama;History,Justin Chadwick,2008,115,26.81
The Other Guys,Action;Comedy;Crime,Adam McKay,2010,107,119.22
The Other Woman,Comedy;Romance,Nick Cassavetes,2014,109,83.91
